#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2007,1,4,18,0,210,3.9,5.3,0.0,0.0,0.0,,1015.6,8.1,5.2,-3.5,,
2007,1,4,19,0,201,3.5,4.7,0.0,0.0,0.0,,1015.0,8.0,5.2,-1.0,,
2007,1,4,20,0,188,1.3,2.3,0.0,0.0,0.0,,1015.0,7.8,5.4,-0.5,,
2007,1,4,21,0,199,2.7,4.4,0.0,0.0,0.0,,1015.0,8.2,5.6,1.2,,
2007,1,4,22,0,211,1.1,1.8,0.0,0.0,0.0,,1015.0,7.0,5.9,0.7,,
2007,1,4,23,0,228,0.1,0.4,0.0,0.0,0.0,,1015.4,5.5,5.9,0.9,,
2007,1,5,0,0,220,2.4,3.7,0.0,0.0,0.0,,1015.0,6.7,5.9,999.0,,
2007,1,5,1,0,213,3.6,5.5,0.0,0.0,0.0,,1014.8,7.4,5.6,-0.8,,
2007,1,5,2,0,235,2.5,3.8,0.0,0.0,0.0,,1014.3,6.3,5.6,-0.3,,
2007,1,5,3,0,236,3.5,4.7,0.0,0.0,0.0,,1014.2,6.0,5.6,-1.2,,
2007,1,5,4,0,232,3.0,4.4,0.0,0.0,0.0,,1014.7,6.3,5.6,-1.4,,
2007,1,5,5,0,220,4.3,6.1,,,,,1013.8,7.0,5.6,-1.3,,
2007,1,5,6,0,244,2.5,3.5,0.0,0.0,0.0,,1013.4,6.4,5.5,-0.7,,
2007,1,5,7,0,190,2.5,4.0,0.0,0.0,0.0,,1013.5,6.1,5.2,-0.5,,
2007,1,5,8,0,208,1.6,2.4,0.0,0.0,0.0,,1014.1,7.2,5.2,1.5,,
2007,1,5,9,0,245,0.9,1.3,,,,,1013.5,7.1,5.5,2.0,,
2007,1,5,10,0,175,1.2,2.1,0.0,0.0,0.0,,1013.0,7.1,5.6,1.4,,
2007,1,5,11,0,232,0.8,1.8,0.0,0.0,0.0,,1012.7,7.4,5.8,1.7,,
2007,1,5,12,0,212,1.5,2.5,0.0,0.0,0.0,,1013.4,7.9,5.8,2.4,,
2007,1,5,13,0,192,3.7,4.9,0.0,0.0,0.0,,1012.3,8.6,5.9,3.0,,
2007,1,5,14,0,197,3.2,5.2,0.0,0.0,0.0,,1011.9,8.7,5.9,4.9,,
2007,1,5,15,0,201,5.3,7.2,0.0,0.0,0.0,,1010.9,9.2,5.9,6.8,,
2007,1,5,16,0,199,5.8,7.4,0.0,0.0,0.0,,1009.4,9.6,5.9,7.7,,
2007,1,5,17,0,223,3.3,4.6,,,,,1008.8,10.5,6.0,8.6,,
2007,1,5,18,0,225,1.3,1.8,0.0,0.0,0.0,,1008.6,11.7,6.0,9.3,,
2007,1,5,19,0,101,0.3,1.3,0.0,0.0,0.0,,1008.6,12.1,6.2,9.4,,
2007,1,5,20,0,177,2.5,3.8,0.0,0.0,0.0,,1009.1,11.9,6.3,9.5,,
2007,1,5,21,0,180,2.9,3.7,0.0,0.0,0.0,,1009.4,11.0,6.3,8.5,,
2007,1,5,22,0,205,1.0,2.6,0.0,0.0,0.0,,1010.2,10.8,6.3,8.8,,
2007,1,5,23,0,187,2.0,3.5,0.0,0.0,0.0,,1010.4,12.3,6.3,9.9,,
2007,1,6,0,0,195,1.9,3.2,0.0,0.0,0.0,,1010.4,12.7,6.3,10.3,,
2007,1,6,1,0,193,2.7,3.7,0.0,0.0,0.0,,1010.3,12.5,6.3,10.3,,
2007,1,6,2,0,222,1.0,2.8,0.0,0.0,0.0,,1010.3,11.2,6.3,9.7,,
2007,1,6,3,0,203,2.1,3.0,0.0,0.0,0.0,,1009.6,11.1,6.3,9.9,,
2007,1,6,4,0,204,2.8,3.7,0.0,0.0,0.0,,1009.6,11.0,6.4,10.1,,
2007,1,6,5,0,203,0.3,0.8,0.0,0.0,0.0,,1008.6,11.1,6.4,10.4,,
2007,1,6,6,0,198,3.8,4.9,0.0,0.0,0.0,,1007.9,10.9,6.4,10.4,,
2007,1,6,7,0,203,2.3,4.0,0.0,0.0,0.0,,1006.4,10.6,6.6,10.1,,
2007,1,6,8,0,192,5.2,7.0,0.0,0.0,0.0,,1006.2,10.2,6.6,9.8,,
2007,1,6,9,0,193,5.6,8.0,0.0,0.0,0.0,,1004.9,10.4,6.6,10.0,,
2007,1,6,10,0,191,5.1,6.8,0.0,0.0,0.0,,1003.6,10.2,6.6,9.8,,
2007,1,6,11,0,192,4.3,5.6,0.0,0.0,0.0,,1003.1,10.9,6.7,10.6,,
2007,1,6,12,0,192,4.3,6.6,,,,,1002.3,11.0,6.6,10.7,,
2007,1,6,13,0,194,3.5,5.3,0.0,0.0,0.0,,1002.0,11.7,6.7,11.4,,
2007,1,6,14,0,193,5.1,7.3,0.0,0.0,0.0,,1001.6,11.8,6.7,11.6,,
2007,1,6,15,0,185,6.1,7.9,0.0,0.0,0.0,,1001.0,12.6,6.7,12.5,,
2007,1,6,16,0,199,6.3,8.8,0.0,0.0,0.0,,999.2,11.8,7.1,11.6,,
2007,1,6,17,0,197,5.3,6.9,0.0,0.0,0.0,,997.9,12.8,7.1,12.6,,
2007,1,6,18,0,190,5.9,7.6,0.0,0.0,0.0,,996.2,12.0,7.4,11.7,,
2007,1,6,19,0,188,4.7,5.8,0.0,0.0,0.0,,996.1,12.9,7.4,11.7,,
2007,1,6,20,0,184,3.6,4.8,0.0,0.0,0.0,,996.1,15.0,7.5,13.1,,
2007,1,6,21,0,191,2.8,3.9,0.0,0.0,0.0,,996.2,13.6,7.5,11.5,,
2007,1,6,22,0,195,2.6,3.4,0.0,0.0,0.0,,996.9,13.2,7.1,11.4,,
2007,1,6,23,0,270,6.7,9.9,0.0,0.0,0.0,,999.2,16.0,7.2,8.9,,
2007,1,7,0,0,278,5.6,7.9,0.0,0.0,0.0,,1000.9,14.5,7.4,7.7,,
2007,1,7,1,0,267,7.1,10.6,0.0,0.0,0.0,,1002.4,14.1,7.4,5.0,,
2007,1,7,2,0,255,5.0,9.1,0.0,0.0,0.0,,1003.2,13.0,7.4,5.6,,
2007,1,7,3,0,249,5.7,11.6,0.0,0.0,0.0,,1004.1,12.5,7.1,4.5,,
2007,1,7,4,0,272,7.0,10.7,0.0,0.0,0.0,,1005.6,11.6,7.1,3.3,,
2007,1,7,5,0,292,3.6,5.4,0.0,0.0,0.0,,1007.7,10.0,7.1,999.0,,
2007,1,7,6,0,293,3.1,4.3,0.0,0.0,0.0,,1009.4,9.8,7.0,2.9,,
2007,1,7,7,0,289,3.0,4.4,0.0,0.0,0.0,,1011.6,8.7,7.0,1.6,,
2007,1,7,8,0,296,4.7,7.9,0.0,0.0,0.0,,1013.4,7.9,6.8,1.0,,
2007,1,7,9,0,290,5.8,8.3,0.0,0.0,0.0,,1015.5,7.1,6.7,-1.3,,
2007,1,7,10,0,279,5.1,7.2,0.0,0.0,0.0,,1017.2,6.3,6.6,-4.2,,
2007,1,7,11,0,274,3.2,5.0,0.0,0.0,0.0,,1018.1,5.8,6.6,-4.4,,
2007,1,7,12,0,252,1.5,3.0,0.0,0.0,0.0,,1019.6,5.5,6.6,-3.7,,
2007,1,7,13,0,269,2.3,3.1,0.0,0.0,0.0,,1021.2,5.1,6.6,-3.2,,
2007,1,7,14,0,270,2.1,3.1,0.0,0.0,0.0,,1022.6,5.9,6.4,-4.1,,
2007,1,7,15,0,288,4.8,7.1,0.0,0.0,0.0,,1023.4,7.1,6.6,-4.6,,
2007,1,7,16,0,315,4.5,6.7,0.0,0.0,0.0,,1022.8,7.4,6.6,-4.8,,
2007,1,7,17,0,305,3.8,5.2,,,,,1022.1,7.9,6.7,-5.5,,
2007,1,7,18,0,280,5.3,8.2,0.0,0.0,0.0,,1022.1,8.3,6.7,-5.4,,
2007,1,7,19,0,270,2.9,5.3,0.0,0.0,0.0,,1022.0,9.0,6.7,-7.0,,
2007,1,7,20,0,270,2.1,3.9,0.0,0.0,0.0,,1022.8,9.5,6.7,-7.1,,
2007,1,7,21,0,271,1.7,3.7,0.0,0.0,0.0,,1023.6,9.1,6.7,-7.9,,
2007,1,7,22,0,218,1.6,2.6,0.0,0.0,0.0,,1024.6,7.5,6.6,-5.0,,
2007,1,7,23,0,177,0.7,1.1,0.0,0.0,0.0,,1025.0,6.0,6.7,-4.3,,
2007,1,8,0,0,191,0.5,0.9,0.0,0.0,0.0,,1025.0,5.5,6.7,-2.9,,
2007,1,8,1,0,155,0.5,1.2,0.0,0.0,0.0,,1025.2,4.7,6.7,-3.1,,
2007,1,8,2,0,142,0.1,0.6,0.0,0.0,0.0,,1025.1,4.7,6.7,-3.7,,
2007,1,8,3,0,183,0.2,0.6,,,,,1022.7,5.2,6.7,-2.5,,
2007,1,8,4,0,0,0.0,0.0,0.0,0.0,0.0,,1022.6,5.7,6.7,-1.2,,
2007,1,8,5,0,165,1.1,2.9,0.0,0.0,0.0,,1021.9,6.6,7.0,1.2,,
2007,1,8,6,0,199,2.9,4.3,0.0,0.0,0.0,,1021.9,6.8,6.7,2.8,,
2007,1,8,7,0,176,2.2,3.6,0.0,0.0,0.0,,1021.1,6.7,6.6,2.7,,
2007,1,8,8,0,160,3.8,8.3,0.0,0.0,0.0,,1019.0,7.0,6.3,2.1,,
2007,1,8,9,0,158,3.3,6.3,0.0,0.0,0.0,,1016.6,5.1,6.6,1.6,,
2007,1,8,10,0,146,2.3,4.9,,,,,1015.0,5.1,6.4,2.4,,
2007,1,8,11,0,144,2.4,5.1,0.0,0.0,0.0,,1013.3,5.6,6.4,2.8,,
2007,1,8,12,0,131,2.1,6.1,0.0,0.0,0.0,,1011.9,5.9,6.7,3.6,,
2007,1,8,13,0,124,2.2,5.3,0.0,0.0,0.0,,1009.6,5.9,6.7,4.4,,
2007,1,8,14,0,112,1.8,4.5,0.0,0.0,0.0,,1007.4,5.9,6.8,4.8,,
2007,1,8,15,0,101,2.2,4.7,0.0,0.0,0.0,,1004.3,6.6,7.0,5.7,,
2007,1,8,16,0,62,1.2,3.4,0.0,0.0,0.0,,1000.7,6.8,7.0,5.9,,
2007,1,8,17,0,57,1.6,4.3,0.0,0.0,0.0,,997.9,7.1,7.0,6.3,,
2007,1,8,18,0,23,0.7,1.5,0.0,0.0,0.0,,995.6,6.7,7.0,6.0,,
2007,1,8,19,0,335,1.2,2.2,0.0,0.0,0.0,,993.9,6.6,7.0,5.9,,
2007,1,8,20,0,307,5.2,6.8,0.0,0.0,0.0,,995.6,4.9,6.7,4.0,,
2007,1,8,21,0,273,2.3,3.4,0.0,0.0,0.0,,995.9,4.4,6.7,3.1,,
2007,1,8,22,0,252,2.4,4.1,0.0,0.0,0.0,,996.2,4.4,6.7,3.2,,
2007,1,8,23,0,225,3.0,4.3,0.0,0.0,0.0,,996.4,4.4,6.7,3.2,,
2007,1,9,0,0,237,2.9,5.0,0.0,0.0,0.0,,997.2,4.8,6.7,3.4,,
2007,1,9,1,0,253,3.1,4.4,0.0,0.0,0.0,,998.5,5.5,6.7,3.4,,
2007,1,9,2,0,265,3.1,4.7,0.0,0.0,0.0,,998.7,5.1,6.6,2.5,,
2007,1,9,3,0,239,3.1,5.2,0.0,0.0,0.0,,998.7,4.7,6.3,2.1,,
2007,1,9,4,0,228,2.9,4.6,0.0,0.0,0.0,,999.2,4.7,6.3,1.4,,
2007,1,9,5,0,236,2.5,4.2,0.0,0.0,0.0,,999.4,3.9,6.6,0.4,,
2007,1,9,6,0,230,3.7,5.6,0.0,0.0,0.0,,999.4,3.2,6.7,-1.0,,
2007,1,9,7,0,236,3.9,5.0,0.0,0.0,0.0,,999.5,3.1,6.3,-1.7,,
2007,1,9,8,0,248,4.4,6.3,0.0,0.0,0.0,,1000.0,2.8,6.0,-2.4,,
2007,1,9,9,0,236,3.9,5.9,0.0,0.0,0.0,,1000.6,2.4,5.9,-2.5,,
2007,1,9,10,0,242,3.6,5.5,0.0,0.0,0.0,,1000.8,2.1,5.5,-2.7,,
2007,1,9,11,0,225,3.4,4.8,0.0,0.0,0.0,,1001.6,1.6,5.4,-3.1,,
2007,1,9,12,0,220,3.9,5.2,0.0,0.0,0.0,,1002.4,1.3,5.6,-3.4,,
2007,1,9,13,0,212,3.7,5.4,0.0,0.0,0.0,,1003.1,1.2,5.9,-3.7,,
2007,1,9,14,0,213,3.2,4.8,0.0,0.0,0.0,,1003.7,1.9,5.9,-3.6,,
2007,1,9,15,0,236,3.0,4.8,0.0,0.0,0.0,,1004.0,3.1,5.6,-4.1,,
2007,1,9,16,0,259,4.8,8.2,0.0,0.0,0.0,,1003.5,3.9,5.6,-4.3,,
2007,1,9,17,0,246,4.8,8.0,0.0,0.0,0.0,,1003.3,4.3,6.3,-5.2,,
2007,1,9,18,0,271,5.5,7.8,0.0,0.0,0.0,,1003.2,4.3,6.3,-6.0,,
