#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2010,1,6,12,50,304,8.7,10.6,1.11,4.76,4.06,,995.5,-0.1,7.3,999.0,,
2010,1,6,13,50,304,8.5,10.3,1.19,4.17,4.05,,995.9,-0.2,7.1,999.0,,
2010,1,6,14,50,306,7.7,9.7,1.1,4.35,3.98,,996.1,-0.1,7.1,999.0,,
2010,1,6,15,50,296,7.3,9.0,1.06,4.55,4.15,,995.7,-0.4,7.1,999.0,,
2010,1,6,16,50,284,6.9,8.7,1.08,4.35,4.12,,994.8,0.1,7.2,999.0,,
2010,1,6,17,50,289,7.7,9.6,0.99,8.33,4.15,,994.1,0.6,7.3,999.0,,
2010,1,6,18,50,288,7.2,8.9,1.07,8.33,4.33,,994.1,1.2,7.1,999.0,,
2010,1,6,19,50,289,7.1,8.9,1.08,8.33,4.38,,994.0,1.6,7.0,999.0,,
2010,1,6,20,50,293,7.1,8.9,1.12,8.33,4.44,,994.3,1.6,7.0,999.0,,
2010,1,6,21,50,304,9.1,11.4,1.11,4.35,4.39,,994.8,1.4,7.0,999.0,,
2010,1,6,22,50,311,9.2,11.1,1.15,5.0,4.34,,995.3,1.0,7.1,999.0,,
2010,1,6,23,50,305,8.6,10.5,1.11,5.0,4.33,,995.7,0.8,7.2,999.0,,
2010,1,7,0,50,313,8.4,10.3,1.23,5.26,4.23,,996.0,0.6,7.3,999.0,,
2010,1,7,1,50,309,8.5,10.6,1.15,5.26,4.13,,996.1,0.1,7.3,999.0,,
2010,1,7,2,50,312,8.8,10.9,1.14,5.26,4.08,,996.3,-0.2,7.2,999.0,,
2010,1,7,3,50,314,8.9,10.8,1.19,5.0,4.02,,996.5,-0.3,7.2,999.0,,
2010,1,7,4,50,309,8.7,10.9,1.18,4.55,3.95,,996.3,-0.3,7.2,999.0,,
2010,1,7,5,50,306,8.3,10.4,1.24,5.0,4.0,,996.3,-0.6,7.2,-4.5,,
2010,1,7,6,50,303,9.3,11.3,1.37,5.0,4.21,,996.4,-0.7,7.2,-4.5,,
2010,1,7,7,50,306,10.0,11.9,1.3,5.0,4.31,,996.5,-0.6,7.3,-4.1,,
2010,1,7,8,50,310,8.8,11.4,1.4,5.56,4.38,,996.8,-0.8,7.2,-3.8,,
2010,1,7,9,50,316,9.2,11.1,1.29,5.26,4.25,,996.8,-0.5,7.1,-3.5,,
2010,1,7,10,50,315,10.1,12.5,1.35,5.26,4.32,,997.4,-0.5,7.2,-4.1,,
2010,1,7,11,50,319,10.2,12.4,1.39,5.56,4.29,,998.1,-0.7,7.1,-4.1,,
2010,1,7,12,50,310,9.8,12.2,1.38,5.88,4.25,,999.1,-0.9,7.1,-4.4,,
2010,1,7,13,50,303,9.9,12.2,1.38,4.35,4.27,,999.4,-0.6,7.1,-3.8,,
2010,1,7,14,50,312,10.6,12.8,1.38,4.35,4.17,,999.7,0.2,7.1,-3.4,,
