YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 26 23 00  38 11.6 15.1  1.42  4.35  3.98 999 1013.5  -6.2   4.4  -8.4 99.0 99.00
2005 01 27 00 00  32 12.9 15.6  1.54  4.55  4.08 999 1013.9  -6.5   4.5  -8.7 99.0 99.00
2005 01 27 01 00  26 13.7 16.2  1.65  5.00  4.38 999 1014.0  -7.1   4.1  -9.2 99.0 99.00
2005 01 27 02 00  28 13.5 17.2  1.87  5.88  4.57 999 1014.7  -8.1   4.1 -10.2 99.0 99.00
2005 01 27 03 00  26 13.6 16.8  1.87  5.88  4.69 999 1015.2  -8.5   4.1 -11.4 99.0 99.00
2005 01 27 04 00  25 13.8 16.6  2.11  5.56  4.85 999 1015.5  -8.9   4.0 -12.0 99.0 99.00
2005 01 27 05 00  23 13.9 17.5  2.26  6.25  4.91 999 1015.7  -9.8   4.0 -12.6 99.0 99.00
2005 01 27 06 00  22 14.6 19.2  2.06  5.88  4.77 999 1015.5 -10.3   4.0 -12.4 99.0 99.00
2005 01 27 07 00  12 12.9 17.6  1.84  5.56  4.52 999 1016.6 -11.1   4.2 -13.0 99.0 99.00
2005 01 27 08 00  20 12.0 15.6  1.58  5.88  4.29 999 1017.4 -11.8   4.0 -14.0 99.0 99.00
2005 01 27 09 00   7 11.5 14.9  1.67  5.56  4.37 999 1018.0 -12.3   3.9 -14.4 99.0 99.00
2005 01 27 10 00  13 11.7 15.0  1.84  5.56  4.48 999 1018.5 -12.8   4.0 -15.1 99.0 99.00
2005 01 27 11 00  14 10.4 14.1  1.67  5.56  4.27 999 1019.6 -13.9   4.1 -16.2 99.0 99.00
2005 01 27 12 00  12 11.6 14.4  2.10  6.67  4.81 999 1020.8 -14.6   4.0 -16.9 99.0 99.00
2005 01 27 13 00  15 10.4 13.3  1.71  5.26  4.49 999 1022.3 -14.9   4.0 -17.4 99.0 99.00
2005 01 27 14 00  22 10.0 12.4  1.87  7.14  4.90 999 1023.3 -15.1   3.9 -17.6 99.0 99.00
2005 01 27 15 00  20  9.2 11.6  2.31  7.14  5.46 999 1023.6 -14.3   3.9 -16.7 99.0 99.00
2005 01 27 16 00  12  9.4 11.2  1.97  7.69  5.02 999 1023.8 -13.8   4.0 -16.2 99.0 99.00
2005 01 27 17 00  11  9.6 11.9  2.11  7.14  5.23 999 1023.5 -13.0   4.0 -15.3 99.0 99.00
2005 01 27 18 00   3 10.8 13.2  2.01  5.88  5.04 999 1023.4 -12.5   4.0 -14.9 99.0 99.00
2005 01 27 19 00 355 10.8 13.4  1.63  6.67  4.70 999 1023.7 -11.3   4.0 -13.7 99.0 99.00
2005 01 27 20 00 353 11.2 14.9  1.61  4.76  4.53 999 1024.5 -11.3   4.0 -13.8 99.0 99.00
2005 01 27 21 00 353 11.4 14.0  1.56  6.25  4.39 999 1025.2 -10.9   4.0 -13.2 99.0 99.00
2005 01 27 22 00 352 12.6 15.6  1.71  4.76  4.31 999 1026.1 -10.3   4.0 -14.0 99.0 99.00
2005 01 27 23 00 350 13.2 17.1  1.73  5.00  4.38 999 1027.2 -10.6   3.9 -15.0 99.0 99.00
2005 01 28 00 00 354 14.0 17.9  1.82  5.56  4.33 999 1028.1 -10.6   3.9 -15.2 99.0 99.00
2005 01 28 01 00 357 13.9 17.4  1.95  5.56  4.65 999 1028.8 -10.9   4.0 -15.2 99.0 99.00
2005 01 28 02 00 358 14.8 18.9  1.69  5.56  4.37 999 1028.9 -11.1   3.9 -15.3 99.0 99.00
2005 01 28 03 00 352 14.8 19.5  1.75  5.56  4.51 999 1029.2 -11.5   3.9 -14.9 99.0 99.00
