YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 04 23 312  8.3  9.3  0.96  3.57  3.62 999 1012.0   4.2   6.6 999.0 99.0 99.00
2004 01 05 00 312  9.5 11.1  0.96  3.85  3.69 999 1012.9   3.7   6.6 999.0 99.0 99.00
2004 01 05 01 308  9.9 11.6  1.14  4.00  3.74 999 1013.3   3.1   6.7 999.0 99.0 99.00
2004 01 05 02 312  8.5 10.4  1.17  4.76  3.93 999 1014.0   2.7   6.6 999.0 99.0 99.00
2004 01 05 03 313  9.2 11.1  1.27  4.76  4.01 999 1013.5   1.9   6.6 999.0 99.0 99.00
2004 01 05 04 325  9.9 11.7  1.21  4.76  4.06 999 1014.2   1.6   6.6 999.0 99.0 99.00
2004 01 05 05 331  8.6  9.6  1.26  4.17  4.00 999 1013.7   1.1   6.5 999.0 99.0 99.00
2004 01 05 06 339  9.5 11.1  1.22  4.55  3.92 999 1014.0   1.0   6.6 999.0 99.0 99.00
2004 01 05 07 349  8.6 10.6  1.20  4.17  3.89 999 1014.2   0.9   6.6 999.0 99.0 99.00
2004 01 05 08 352  9.0 10.7  1.06  3.85  3.60 999 1014.3   0.5   6.6 999.0 99.0 99.00
2004 01 05 09 348  7.1  9.1  1.15  4.00  3.74 999 1014.5  -0.1   6.6 999.0 99.0 99.00
2004 01 05 10 356  6.6  8.3  1.00  4.00  3.79 999 1014.0  -0.5   6.6 999.0 99.0 99.00
2004 01 05 11 344  7.3  9.2  1.03  4.35  3.84 999 1015.0  -0.6   6.6 999.0 99.0 99.00
2004 01 05 12 348  5.9  7.7  0.95  4.35  3.92 999 1015.8  -1.0   6.5 999.0 99.0 99.00
2004 01 05 13 354  5.6  7.2  0.92  4.17  4.08 999 1016.1  -1.3   6.5 999.0 99.0 99.00
2004 01 05 14 358  5.5  7.1  0.91  7.14  3.93 999 1016.2  -1.7   6.5 999.0 99.0 99.00
2004 01 05 15   4  6.3  8.1  0.87  7.69  4.08 999 1016.6  -2.1   6.5 999.0 99.0 99.00
