YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1999,1,5,21,,275,3.3,5.6,0.63,10.0,7.0,,1022.0,-4.5,,,,
1999,1,5,22,,296,2.1,3.8,0.79,10.0,7.91,,1023.2,-4.7,,,,
1999,1,5,23,,296,6.3,8.5,0.77,10.0,7.68,,1024.3,-4.8,,,,
1999,1,6,0,,321,4.1,6.4,0.87,10.0,7.84,,1025.3,-4.8,,,,
1999,1,6,1,,266,2.1,3.4,0.79,10.0,7.52,,1025.7,-5.3,,,,
1999,1,6,2,,287,2.2,3.7,0.78,9.09,7.54,,1026.0,-5.4,,,,
1999,1,6,3,,271,3.3,5.2,0.83,10.0,8.04,,1025.7,-5.3,,,,
1999,1,6,4,,263,4.5,6.4,0.79,9.09,8.22,,1025.8,-5.5,,,,
1999,1,6,5,,247,5.0,6.5,0.85,10.0,8.49,,1025.6,-5.2,,,,
1999,1,6,6,,238,6.2,7.4,0.67,9.09,7.25,,1025.2,-5.0,,,,
1999,1,6,7,,252,6.0,8.3,0.61,10.0,5.06,,1025.5,-5.0,,,,
1999,1,6,8,,256,5.6,6.8,0.69,10.0,4.56,,1025.4,-5.5,,,,
1999,1,6,9,,267,7.8,9.4,0.63,10.0,4.57,,1024.9,-5.9,,,,
1999,1,6,10,,265,6.7,7.9,0.59,9.09,4.6,,1024.9,-6.1,,,,
1999,1,6,11,,259,6.5,7.7,0.65,10.0,4.9,,1025.3,-6.4,,,,
1999,1,6,12,,258,4.9,6.3,0.73,9.09,5.84,,1026.0,-6.7,,,,
1999,1,6,13,,257,3.3,4.6,0.65,10.0,5.67,,1026.3,-6.3,,,,
1999,1,6,14,,236,3.7,5.0,0.73,10.0,6.03,,1026.5,-5.3,,,,
1999,1,6,15,,206,5.9,8.6,0.66,9.09,6.21,,1025.8,-3.6,,,,
1999,1,6,16,,210,8.3,10.1,0.74,8.33,4.16,,1024.8,-2.9,,,,
1999,1,6,17,,205,10.4,13.1,0.91,3.7,3.79,,1022.9,-2.2,,,,
1999,1,6,18,,202,10.5,13.3,1.27,4.35,4.06,,1021.4,-1.8,,,,
1999,1,6,19,,196,10.9,13.5,1.22,4.55,4.18,,1020.1,-1.1,,,,
1999,1,6,20,,196,12.0,15.1,1.56,5.26,4.46,,1019.0,-0.9,,,,
1999,1,6,21,,196,14.0,17.2,1.79,5.56,4.68,,1017.9,-0.1,,,,
1999,1,6,22,,197,14.0,18.0,2.16,5.88,4.98,,1016.9,0.4,,,,
1999,1,6,23,,190,15.1,18.4,2.46,6.25,5.19,,1016.1,0.6,,,,
1999,1,7,0,,208,15.5,18.6,2.68,6.67,5.44,,1016.1,-0.7,,,,
1999,1,7,1,,207,14.1,16.9,2.53,6.67,5.34,,1015.6,0.0,,,,
1999,1,7,2,,209,14.1,17.1,2.61,6.67,5.32,,1014.9,0.4,,,,
1999,1,7,3,,216,16.1,20.9,2.58,6.67,5.45,,1013.8,0.2,,,,
1999,1,7,4,,218,14.4,17.7,2.46,7.14,5.33,,1013.2,-0.3,,,,
1999,1,7,5,,221,13.1,17.1,2.35,7.14,5.3,,1013.1,-0.5,,,,
1999,1,7,6,,219,12.3,15.0,2.21,6.25,5.23,,1012.3,-0.2,,,,
1999,1,7,7,,215,14.0,16.6,2.36,7.14,5.27,,1011.7,0.1,,,,
1999,1,7,8,,215,13.0,15.8,2.08,6.67,5.22,,1011.6,0.6,,,,
1999,1,7,9,,220,13.0,15.6,2.06,7.14,5.14,,1010.9,0.6,,,,
1999,1,7,10,,221,11.2,14.1,2.15,6.67,5.35,,1010.8,0.5,,,,
1999,1,7,11,,226,11.0,13.4,1.85,7.14,5.12,,1011.1,0.4,,,,
1999,1,7,12,,233,9.3,12.8,1.73,6.67,4.99,,1011.9,-0.4,,,,
1999,1,7,13,,232,9.6,11.2,1.61,7.14,5.24,,1012.5,-0.4,,,,
1999,1,7,14,,242,11.1,13.8,1.5,7.14,4.88,,1013.4,-0.4,,,,
1999,1,7,15,,257,9.8,13.8,1.46,6.25,4.73,,1014.9,-0.7,,,,
1999,1,7,16,,272,12.1,14.8,1.26,5.88,4.51,,1015.4,-1.2,,,,
1999,1,7,17,,270,11.4,14.2,1.15,6.25,4.14,,1015.7,-1.4,,,,
1999,1,7,18,,289,11.9,14.3,1.1,3.57,3.9,,1016.2,-2.2,,,,
1999,1,7,19,,262,12.8,15.7,1.23,3.85,3.88,,1017.1,-2.3,,,,
1999,1,7,20,,274,11.0,14.8,1.02,3.57,3.78,,1018.8,-3.0,,,,
1999,1,7,21,,279,11.7,14.6,0.99,3.85,3.64,,1020.0,-4.0,,,,
1999,1,7,22,,282,8.3,10.6,0.84,3.7,3.89,,1021.8,-4.8,,,,
1999,1,7,23,,286,8.8,10.6,0.61,10.0,4.04,,1023.4,-5.6,,,,
