YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 05 01 117  3.7  4.5   .49  7.69  5.47 999 1017.2   2.5   4.8 999.0 99.0
97 01 05 02 110  3.7  5.0   .46  6.67  5.41 999 1016.9   2.8   4.8 999.0 99.0
97 01 05 03 124  4.4  5.3   .46  7.69  5.04 999 1016.5   3.1   4.8 999.0 99.0
97 01 05 04 131  4.9  6.2   .51  7.69  4.46 999 1016.4   3.5   4.8 999.0 99.0
97 01 05 05 138  5.4  6.8   .55  9.09  4.12 999 1015.6   3.6   4.9 999.0 99.0
97 01 05 06 125  5.8  7.2   .60  8.33  4.20 999 1014.8   3.7   5.1 999.0 99.0
97 01 05 07 117  6.6  8.0   .64  8.33  3.95 999 1014.2   3.9   5.1 999.0 99.0
97 01 05 08 118  7.0  8.4   .72  8.33  4.09 999 1013.3   4.0   5.2 999.0 99.0
97 01 05 09 123  7.3  8.7   .72  8.33  4.00 999 1012.2   4.3   5.2 999.0 99.0
97 01 05 10 117  6.8  8.0   .81  3.85  4.14 999 1011.7   4.2   5.2 999.0 99.0
97 01 05 11 107  7.1  8.5   .86  3.85  4.13 999 1011.0   4.3   5.5 999.0 99.0
97 01 05 12 117  7.0  8.7   .94  4.00  4.22 999 1010.3   4.4   5.5 999.0 99.0
97 01 05 13 112  7.3  9.4  1.06  4.35  4.28 999 1009.5   4.7   5.5 999.0 99.0
97 01 05 14 104  7.5  8.9  1.04  4.55  4.19 999 1008.0   4.8   5.2 999.0 99.0
97 01 05 15 103  6.0  7.3  1.11  5.00  4.46 999 1007.3   5.1   5.2 999.0 99.0
97 01 05 16  81  4.3  5.2  1.12  5.26  4.55 999 1006.9   5.2   5.4 999.0 99.0
97 01 05 17  74  6.0  6.9  1.04  5.26  4.53 999 1004.2   5.5   5.5 999.0 99.0
97 01 05 18  70  5.6  6.6  1.08  5.26  4.69 999 1002.5   5.5   5.2 999.0 99.0
97 01 05 19  80  4.2  5.1  1.13  5.56  4.79 999 1001.0   5.8   5.2 999.0 99.0
97 01 05 20  56  3.1  3.6  1.34  5.56  4.95 999  999.6   5.9   5.2 999.0 99.0
97 01 05 21  49  3.5  4.1  1.19  5.88  4.87 999  997.8   5.9   5.2 999.0 99.0
97 01 05 22  62  2.8  3.2  1.20  6.25  4.99 999  995.6   6.1   5.2 999.0 99.0
97 01 05 23 252  2.9  4.1  1.19  5.88  5.01 999  995.3   6.3   5.2 999.0 99.0
97 01 06 00 301  4.5  5.3  1.23  5.88  5.23 999  994.4   3.6   5.1 999.0 99.0
97 01 06 01 305  4.5  5.9  1.17  6.25  5.22 999  994.5   2.9   5.1 999.0 99.0
97 01 06 02 308  4.5  5.5  1.16  6.25  5.41 999  994.5   2.8   5.2 999.0 99.0
97 01 06 03 310  3.6  4.9  1.10  6.25  5.46 999  994.4   2.9   5.5 999.0 99.0
