YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 04 12 253  8.6 11.3  2.34 11.11  7.15 999 1005.9   1.9 999.0 999.0 99.0
1999 01 04 13 248 10.1 12.4  2.54 11.11  7.57 999 1006.5   1.6 999.0 999.0 99.0
1999 01 04 14 248 12.2 15.4  2.59 11.11  7.41 999 1007.3    .3 999.0 999.0 99.0
1999 01 04 15 252 12.0 14.1  2.31 11.11  6.58 999 1008.4   -.9 999.0 999.0 99.0
1999 01 04 16 245 11.8 14.3  2.37 12.50  6.87 999 1008.7  -1.6 999.0 999.0 99.0
1999 01 04 17 254 12.9 16.8  2.16 12.50  6.48 999 1008.7  -1.8 999.0 999.0 99.0
1999 01 04 18 244 10.0 12.3  2.11 12.50  6.42 999 1009.2  -2.0 999.0 999.0 99.0
1999 01 04 19 242 11.9 14.5  2.26 12.50  6.77 999 1008.9  -2.0 999.0 999.0 99.0
1999 01 04 20 240 10.8 13.3  2.15 12.50  6.79 999 1009.9  -1.6 999.0 999.0 99.0
1999 01 04 21 236 11.0 13.5  2.40 11.11  7.12 999 1010.7  -1.9 999.0 999.0 99.0
1999 01 04 22 242 10.6 12.7  2.29 12.50  6.85 999 1011.6  -2.0 999.0 999.0 99.0
1999 01 04 23 247 11.7 14.2  2.04 12.50  6.10 999 1012.6  -2.3 999.0 999.0 99.0
1999 01 05 00 240 11.1 13.8  2.22 12.50  6.44 999 1013.6  -2.7 999.0 999.0 99.0
1999 01 05 01 238 11.1 13.5  2.13 11.11  6.20 999 1014.0  -3.0 999.0 999.0 99.0
1999 01 05 02 238 11.0 13.4  2.02 12.50  6.23 999 1013.9  -3.4 999.0 999.0 99.0
1999 01 05 03 241 11.0 13.8  1.71 12.50  5.51 999 1013.8  -3.6 999.0 999.0 99.0
1999 01 05 04 234 11.6 14.1  1.52 11.11  5.02 999 1014.0  -3.7 999.0 999.0 99.0
1999 01 05 05 242 11.4 14.9  1.58 11.11  5.01 999 1014.1  -3.9 999.0 999.0 99.0
1999 01 05 06 245 12.1 14.2  1.63 11.11  5.08 999 1013.9  -4.4 999.0 999.0 99.0
1999 01 05 07 251 12.1 14.3  1.62 11.11  5.02 999 1014.7  -4.8 999.0 999.0 99.0
1999 01 05 08 252 11.7 13.7  1.66 11.11  5.08 999 1015.3  -4.7 999.0 999.0 99.0
1999 01 05 09 245 11.2 13.7  1.91 10.00  5.58 999 1016.3  -4.9 999.0 999.0 99.0
1999 01 05 10 252 10.6 13.0  1.83 10.00  5.84 999 1016.6  -5.6 999.0 999.0 99.0
1999 01 05 11 268  9.0 11.3  1.68 11.11  5.39 999 1017.7  -6.3 999.0 999.0 99.0
1999 01 05 12 275  8.6 10.7  1.53 11.11  6.12 999 1019.3  -7.5 999.0 999.0 99.0
1999 01 05 13 286  7.5  9.2  1.38 11.11  6.31 999 1020.5  -7.8 999.0 999.0 99.0
1999 01 05 14 289  6.7  8.5  1.13 11.11  5.81 999 1021.3  -8.0 999.0 999.0 99.0
1999 01 05 15 284  8.1  9.6  1.09 11.11  5.94 999 1021.3  -7.9 999.0 999.0 99.0
1999 01 05 16 303  5.9  7.4   .85 11.11  5.52 999 1021.6  -7.6 999.0 999.0 99.0
1999 01 05 17 299  6.1  7.9   .84 11.11  6.14 999 1021.3  -7.1 999.0 999.0 99.0
1999 01 05 18 300  5.6  7.8   .76 11.11  6.21 999 1020.7  -6.0 999.0 999.0 99.0
1999 01 05 19 288  5.7  7.9   .69 11.11  6.74 999 1020.8  -5.2 999.0 999.0 99.0
1999 01 05 20 293  3.8  5.0   .62 11.11  6.58 999 1021.1  -4.8 999.0 999.0 99.0
1999 01 05 21 275  3.3  5.6   .63 10.00  7.00 999 1022.0  -4.5 999.0 999.0 99.0
1999 01 05 22 296  2.1  3.8   .79 10.00  7.91 999 1023.2  -4.7 999.0 999.0 99.0
1999 01 05 23 296  6.3  8.5   .77 10.00  7.68 999 1024.3  -4.8 999.0 999.0 99.0
1999 01 06 00 321  4.1  6.4   .87 10.00  7.84 999 1025.3  -4.8 999.0 999.0 99.0
1999 01 06 01 266  2.1  3.4   .79 10.00  7.52 999 1025.7  -5.3 999.0 999.0 99.0
1999 01 06 02 287  2.2  3.7   .78  9.09  7.54 999 1026.0  -5.4 999.0 999.0 99.0
1999 01 06 03 271  3.3  5.2   .83 10.00  8.04 999 1025.7  -5.3 999.0 999.0 99.0
1999 01 06 04 263  4.5  6.4   .79  9.09  8.22 999 1025.8  -5.5 999.0 999.0 99.0
1999 01 06 05 247  5.0  6.5   .85 10.00  8.49 999 1025.6  -5.2 999.0 999.0 99.0
1999 01 06 06 238  6.2  7.4   .67  9.09  7.25 999 1025.2  -5.0 999.0 999.0 99.0
1999 01 06 07 252  6.0  8.3   .61 10.00  5.06 999 1025.5  -5.0 999.0 999.0 99.0
1999 01 06 08 256  5.6  6.8   .69 10.00  4.56 999 1025.4  -5.5 999.0 999.0 99.0
1999 01 06 09 267  7.8  9.4   .63 10.00  4.57 999 1024.9  -5.9 999.0 999.0 99.0
1999 01 06 10 265  6.7  7.9   .59  9.09  4.60 999 1024.9  -6.1 999.0 999.0 99.0
1999 01 06 11 259  6.5  7.7   .65 10.00  4.90 999 1025.3  -6.4 999.0 999.0 99.0
1999 01 06 12 258  4.9  6.3   .73  9.09  5.84 999 1026.0  -6.7 999.0 999.0 99.0
1999 01 06 13 257  3.3  4.6   .65 10.00  5.67 999 1026.3  -6.3 999.0 999.0 99.0
1999 01 06 14 236  3.7  5.0   .73 10.00  6.03 999 1026.5  -5.3 999.0 999.0 99.0
1999 01 06 15 206  5.9  8.6   .66  9.09  6.21 999 1025.8  -3.6 999.0 999.0 99.0
1999 01 06 16 210  8.3 10.1   .74  8.33  4.16 999 1024.8  -2.9 999.0 999.0 99.0
1999 01 06 17 205 10.4 13.1   .91  3.70  3.79 999 1022.9  -2.2 999.0 999.0 99.0
1999 01 06 18 202 10.5 13.3  1.27  4.35  4.06 999 1021.4  -1.8 999.0 999.0 99.0
1999 01 06 19 196 10.9 13.5  1.22  4.55  4.18 999 1020.1  -1.1 999.0 999.0 99.0
1999 01 06 20 196 12.0 15.1  1.56  5.26  4.46 999 1019.0   -.9 999.0 999.0 99.0
1999 01 06 21 196 14.0 17.2  1.79  5.56  4.68 999 1017.9   -.1 999.0 999.0 99.0
1999 01 06 22 197 14.0 18.0  2.16  5.88  4.98 999 1016.9    .4 999.0 999.0 99.0
1999 01 06 23 190 15.1 18.4  2.46  6.25  5.19 999 1016.1    .6 999.0 999.0 99.0
1999 01 07 00 208 15.5 18.6  2.68  6.67  5.44 999 1016.1   -.7 999.0 999.0 99.0
1999 01 07 01 207 14.1 16.9  2.53  6.67  5.34 999 1015.6    .0 999.0 999.0 99.0
1999 01 07 02 209 14.1 17.1  2.61  6.67  5.32 999 1014.9    .4 999.0 999.0 99.0
1999 01 07 03 216 16.1 20.9  2.58  6.67  5.45 999 1013.8    .2 999.0 999.0 99.0
1999 01 07 04 218 14.4 17.7  2.46  7.14  5.33 999 1013.2   -.3 999.0 999.0 99.0
1999 01 07 05 221 13.1 17.1  2.35  7.14  5.30 999 1013.1   -.5 999.0 999.0 99.0
1999 01 07 06 219 12.3 15.0  2.21  6.25  5.23 999 1012.3   -.2 999.0 999.0 99.0
1999 01 07 07 215 14.0 16.6  2.36  7.14  5.27 999 1011.7    .1 999.0 999.0 99.0
1999 01 07 08 215 13.0 15.8  2.08  6.67  5.22 999 1011.6    .6 999.0 999.0 99.0
1999 01 07 09 220 13.0 15.6  2.06  7.14  5.14 999 1010.9    .6 999.0 999.0 99.0
1999 01 07 10 221 11.2 14.1  2.15  6.67  5.35 999 1010.8    .5 999.0 999.0 99.0
1999 01 07 11 226 11.0 13.4  1.85  7.14  5.12 999 1011.1    .4 999.0 999.0 99.0
1999 01 07 12 233  9.3 12.8  1.73  6.67  4.99 999 1011.9   -.4 999.0 999.0 99.0
1999 01 07 13 232  9.6 11.2  1.61  7.14  5.24 999 1012.5   -.4 999.0 999.0 99.0
1999 01 07 14 242 11.1 13.8  1.50  7.14  4.88 999 1013.4   -.4 999.0 999.0 99.0
1999 01 07 15 257  9.8 13.8  1.46  6.25  4.73 999 1014.9   -.7 999.0 999.0 99.0
1999 01 07 16 272 12.1 14.8  1.26  5.88  4.51 999 1015.4  -1.2 999.0 999.0 99.0
1999 01 07 17 270 11.4 14.2  1.15  6.25  4.14 999 1015.7  -1.4 999.0 999.0 99.0
1999 01 07 18 289 11.9 14.3  1.10  3.57  3.90 999 1016.2  -2.2 999.0 999.0 99.0
1999 01 07 19 262 12.8 15.7  1.23  3.85  3.88 999 1017.1  -2.3 999.0 999.0 99.0
1999 01 07 20 274 11.0 14.8  1.02  3.57  3.78 999 1018.8  -3.0 999.0 999.0 99.0
1999 01 07 21 279 11.7 14.6   .99  3.85  3.64 999 1020.0  -4.0 999.0 999.0 99.0
1999 01 07 22 282  8.3 10.6   .84  3.70  3.89 999 1021.8  -4.8 999.0 999.0 99.0
1999 01 07 23 286  8.8 10.6   .61 10.00  4.04 999 1023.4  -5.6 999.0 999.0 99.0
1999 01 08 00 291  7.7  9.2   .52 10.00  3.89 999 1024.6  -6.2 999.0 999.0 99.0
1999 01 08 01 267  7.6  9.9   .43  9.09  5.12 999 1025.7  -6.4 999.0 999.0 99.0
1999 01 08 02 257  8.3 11.0   .50 10.00  3.90 999 1026.3  -6.0 999.0 999.0 99.0
1999 01 08 03 253  8.4 10.2   .51  9.09  3.71 999 1026.9  -6.1 999.0 999.0 99.0
1999 01 08 04 246  9.3 11.3   .60  9.09  3.85 999 1027.3  -6.4 999.0 999.0 99.0
1999 01 08 05 247  9.2 11.3   .74  3.70  3.72 999 1027.7  -6.1 999.0 999.0 99.0
1999 01 08 06 242  9.6 12.2   .77  3.85  3.69 999 1027.9  -6.4 999.0 999.0 99.0
1999 01 08 07 241  9.9 12.9   .87  3.85  3.82 999 1028.7  -6.6 999.0 999.0 99.0
1999 01 08 08 238 10.9 13.6  1.03  4.35  3.88 999 1029.5  -6.2 999.0 999.0 99.0
1999 01 08 09 239 10.5 13.4   .99  4.55  3.86 999 1029.9  -6.5 999.0 999.0 99.0
1999 01 08 10 244 10.6 13.2  1.01  4.35  3.96 999 1030.7  -6.9 999.0 999.0 99.0
1999 01 08 11 246 10.6 13.2   .98  4.76  3.91 999 1031.5  -6.8 999.0 999.0 99.0
1999 01 08 12 250  9.4 12.6   .90  4.55  3.85 999 1032.5  -6.9 999.0 999.0 99.0
1999 01 08 13 257  8.8 10.7   .89  4.35  3.95 999 1033.5  -6.9 999.0 999.0 99.0
1999 01 08 14 258  7.5  9.3   .83  4.17  3.96 999 1033.5  -6.9 999.0 999.0 99.0
1999 01 08 15 260  6.0  7.4   .73  4.35  3.81 999 1034.3  -6.8 999.0 999.0 99.0
1999 01 08 16 255  4.8  6.6   .67  4.00  4.02 999 1034.2  -6.2 999.0 999.0 99.0
1999 01 08 17 246  3.6  5.0   .62 10.00  4.20 999 1033.3  -5.8 999.0 999.0 99.0
1999 01 08 18 237  3.0  4.8   .52  9.09  4.35 999 1032.8  -5.3 999.0 999.0 99.0
1999 01 08 19 209  3.4  4.8   .50 10.00  4.76 999 1032.1  -4.9 999.0 999.0 99.0
1999 01 08 20 193  5.5  6.9   .51 10.00  5.39 999 1031.4  -3.9 999.0 999.0 99.0
1999 01 08 21 182  7.1  9.2   .51 10.00  4.50 999 1030.4  -3.0 999.0 999.0 99.0
1999 01 08 22 179  7.5  9.4   .60  9.09  3.72 999 1029.5  -2.5 999.0 999.0 99.0
1999 01 08 23 187  6.6  8.0   .71  3.33  3.73 999 1029.6  -2.9 999.0 999.0 99.0
1999 01 09 00 182  5.4  6.6   .82  3.85  3.82 999 1028.9  -2.2 999.0 999.0 99.0
1999 01 09 01 153  5.3  6.4   .74  3.85  3.90 999 1027.5  -1.6 999.0 999.0 99.0
1999 01 09 02 136  8.4 11.2   .84  4.00  3.99 999 1025.1   -.6 999.0 999.0 99.0
1999 01 09 03 143 10.0 11.7   .98  4.17  4.05 999 1023.6    .1 999.0 999.0 99.0
1999 01 09 04 131  9.3 11.4  1.25  4.55  4.15 999 1021.5    .7 999.0 999.0 99.0
1999 01 09 05 123  8.5 10.3  1.50  5.26  4.53 999 1018.7   1.6 999.0 999.0 99.0
1999 01 09 06  95  6.6  7.5  1.48  5.26  4.52 999 1016.3   1.8 999.0 999.0 99.0
1999 01 09 07  92  2.7  4.0  1.89  5.88  5.17 999 1013.8   4.3 999.0 999.0 99.0
1999 01 09 08 324  6.3  7.5  2.13  7.14  5.54 999 1012.0   -.4 999.0 999.0 99.0
1999 01 09 09 273  3.6  5.2  2.43  7.69  5.97 999 1011.6  -1.7 999.0 999.0 99.0
1999 01 09 10 278  2.8  4.0  2.17  7.14  6.00 999 1011.4  -2.7 999.0 999.0 99.0
