#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 03 50 322 10.1 12.4  1.12 12.12  5.19  97  990.4   1.9   5.6 999.0 99.0 99.00
2010 01 04 04 50 324  9.8 12.5  1.06 12.12  4.79 105  990.5   2.1   5.7 999.0 99.0 99.00
2010 01 04 05 50 323 10.4 12.3  1.03 12.12  4.82  89  990.7   2.2   5.9 999.0 99.0 99.00
2010 01 04 06 50 320  9.3 11.3  1.06 11.43  4.92 110  991.5   2.6   5.9 999.0 99.0 99.00
2010 01 04 07 50 315  9.2 11.5  1.07 11.43  5.65  84  991.7   2.3   6.0 999.0 99.0 99.00
2010 01 04 08 50 321 11.8 14.1  1.07 11.43  4.82  87  991.6   2.2   5.9 999.0 99.0 99.00
2010 01 04 09 50 315 11.7 14.4  1.08 11.43  4.68 287  992.2   1.9   5.9 999.0 99.0 99.00
2010 01 04 10 50 318 12.6 15.6  1.19 10.00  5.01 103  992.5   1.6   5.7 999.0 99.0 99.00
2010 01 04 11 50 318 12.3 14.7  1.18 10.81  4.58  47  993.1   1.3   5.5 999.0 99.0 99.00
2010 01 04 12 50 319 10.9 13.4  1.19 13.79  5.79 314  994.0   0.8   5.4 999.0 99.0 99.00
2010 01 04 13 50 319 10.1 12.7  1.00 12.90  5.24  70  995.1   0.7   5.3 999.0 99.0 99.00
2010 01 04 14 50 320  9.9 12.9  0.90 12.90  4.86 101  995.8   1.2   5.2 999.0 99.0 99.00
2010 01 04 15 50 328  9.7 12.7  0.92 12.12  4.53 106  996.0   1.1   5.2 999.0 99.0 99.00
2010 01 04 16 50 323  9.9 12.4  0.84 12.12  4.20 117  995.6   1.4   5.3 999.0 99.0 99.00
2010 01 04 17 50 329  8.3  9.8  0.86 12.12  4.67  62  995.7   1.3   5.4 999.0 99.0 99.00
2010 01 04 18 50 321  7.0  8.8  0.75 12.12  4.66  96  996.5   1.6   5.4 999.0 99.0 99.00
2010 01 04 19 50 315  6.5  8.5  0.72 12.12  4.54 357  997.3   1.3   5.5 999.0 99.0 99.00
2010 01 04 23 50 306  6.0  7.4  0.77 13.79  6.37  98  999.9  -0.4   5.1 999.0 99.0 99.00
2010 01 05 00 50 320  7.6  9.7  0.91 10.00  6.60 106  999.8  -0.6   5.0 999.0 99.0 99.00
2010 01 05 01 50 328  7.0  9.6  0.81 10.81  5.43 102 1000.1  -0.8   5.0 999.0 99.0 99.00
2010 01 05 02 50 324  7.3  9.3  0.77 12.90  4.89 327 1000.1  -0.9   5.0 999.0 99.0 99.00
2010 01 05 03 50 323  7.6  9.5  0.79 10.00  4.81  95 1000.0  -0.7   5.0 999.0 99.0 99.00
2010 01 05 04 50 323  6.0  8.0  0.70 11.43  4.77 106 1000.0  -0.9   5.0 999.0 99.0 99.00
2010 01 05 05 50 321  6.3  8.3  0.66 13.79  5.10 110  999.8  -0.9   5.0 999.0 99.0 99.00
2010 01 05 06 50 317  6.0  7.7  0.56 11.43  5.13 137 1000.1  -0.8   5.0 999.0 99.0 99.00
2010 01 05 07 50 312  5.4  7.6  0.62 12.12  6.49 115 1000.0  -0.8   5.1 999.0 99.0 99.00
2010 01 05 08 50 312  5.4  7.2  0.70 12.90  7.34  78 1000.0  -0.8   5.1 999.0 99.0 99.00
2010 01 05 09 50 323  6.3  7.9  0.71 12.90  7.97 319 1000.0  -0.9   5.2 999.0 99.0 99.00
